#{"t_start": 1769022441.4324408, "env_id": "None"}
r,l,t
-38.698641,90,0.957727
-82.75272,90,1.011596
-11.745806,90,1.06188
-100.330024,90,1.115279
-47.247842,90,1.165776
-88.804463,90,1.219351
-76.339909,90,1.269948
-29.561531,90,1.322964
-54.830566,90,1.373918
-71.735067,90,1.427419
-87.478258,90,1.477615
-67.614192,90,1.53118
-29.877439,90,1.581866
-45.557235,90,1.635158
-82.246116,90,1.686681
-39.62893,90,1.744937
-27.415157,90,1.795177
-83.341538,90,1.848735
-88.951904,90,1.899148
-94.568559,90,1.952688
-10.802548,90,2.003107
-51.738591,90,2.056846
-97.477256,90,3.621725
-22.595438,90,3.674699
-83.470498,90,3.725132
-102.970294,90,3.779224
-24.951533,90,3.829913
-34.067666,90,3.886216
-50.010732,90,3.936591
-91.877215,90,3.99384
-93.802664,90,4.044492
-50.452504,90,4.097068
-41.25328,90,4.147433
-104.28933,90,4.202417
-26.31246,90,4.257272
-59.585259,90,4.314024
-79.949902,90,4.365222
-102.041749,90,4.422784
-59.411336,90,4.473044
-97.618485,90,4.525693
-2.12143,90,4.575891
-56.406795,90,4.632449
-56.08337,90,4.68723
10.667579,90,4.741866
-65.033764,90,4.793959
-90.313236,90,6.339704
-15.326655,90,6.390712
-72.989715,90,6.443288
-62.895442,90,6.496934
-83.256566,90,6.552211
-88.037656,90,6.603267
-23.722116,90,6.660644
-100.598307,90,6.711543
-77.845358,90,6.764453
-59.63123,90,6.815178
-18.577639,90,8.858457
-101.298653,90,8.91306
-32.725705,90,8.964455
-94.674609,90,9.018567
-84.485341,90,9.070145
-11.44105,90,9.125148
-83.231551,90,9.177136
-25.536141,90,9.230933
-10.622658,90,9.2823
-28.753454,90,9.336698
-109.241018,90,9.388118
-67.56892,90,9.4419
-41.209852,90,9.493392
